project_name,github_url,framework
ngx-admin,https://github.com/akveo/ngx-admin,Angular
Openproject,https://github.com/opf/openproject,Angular
angular-realworld-example-app,https://github.com/gothinkster/angular-realworld-example-app,Angular
angular-seed,https://github.com/angular/angular-seed,Angular
angular-cli,https://github.com/angular/angular-cli,Angular
material2,https://github.com/angular/material2,Angular
nrwl/nx,https://github.com/nrwl/nx,Angular
ionic-framework,https://github.com/ionic-team/ionic-framework,Angular
primefaces/primeng,https://github.com/primefaces/primeng,Angular
react,https://github.com/facebook/react,React
react-native,https://github.com/facebook/react-native,React
create-react-app,https://github.com/facebook/create-react-app,React
next.js,https://github.com/vercel/next.js,React
material-ui,https://github.com/mui/material-ui,React
react-router,https://github.com/remix-run/react-router,React
react-query,https://github.com/TanStack/query,React
ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,Angular
angular-calendar,https://github.com/mattlewis92/angular-calendar,Angular
ngx-charts/primeng,https://github.com/swimlane/ngx-charts,Angular
react-hook-form,https://github.com/react-hook-form/react-hook-form,React
react-admin,https://github.com/marmelab/react-admin,React
react-table,https://github.com/TanStack/table,React
